Content,Classify
"Đã nhận được hàng, hàng của shop thì ổn. Nhưng trước khi nhận được hàng của shop thì bị 1 cú lừa. Có người gọi điện giao hàng, đúng số đt, đúng địa chỉ, đúng tên khách hàng, đúng mặt hàng, đúng cả giá tiền trong khi mỗi khách khi đặt cùng 1 mặt hàng có thể có tổng phí phải trả khác nhau, do phí vận chuyển và cách chọn ưu đãi khác nhau. Shopee nói ko phải lỗi hệ thống shopee, shop nói ko phải hàng của shop nên ko chịu trách nhiệm. Lỗi do khách nhận hàng ko xem kỹ. Ko ai chịu trách nhiệm cho việc Thông tin khách bị lộ, dẫn đến bị lừa. Ko biết bao nhiêu người đã bị lừa như thế này rồi. Mọi người cảnh giác nhé. Mình mua hàng trên shopee rất nhìu nhưng đây là lần đầu tiên mua của shop, cũng là lần đầu tiên bị lừa thế này. Mình đi làm ko đc phép sử dụng đt, mua hàng online đều nhờ người khác nhận giúp nên ko thể phiền người ta kiểm tra kỹ bao bì, tem nhãn khi nhận đc, đúng thông tin thì nhận thôi.",2
"Dài 100cm eo 64 ống quần hơi rộng nhỏ bớt 3cm là ok, siêu hack chân, mình m6 eo 60 phải thắt eo, chất vải mềm nên mình ko thích lắm giặt tay thui chớ cho vô máy giặt là hư liền, quần ra màu mặc hơi ngứa, xích quần dễ tuột.",2
Đáng mua... Mặc vừa in... Chất co giãn thoải mái màu đẹp cạp cao tôn mông.. Nếu có màu đen nữa thì mình cũng muốn mua thêm,1
Dáng quần đúng ưng luôn ạ. Quần mặc vào khi đứng ngồi rất thoải mái. Nhưng shop giao hàng lâu quá ạ. Làm đợi mỏi mòn tưởng shop không giao rồi ạ.,1
"dáng quần đúng với mô tả, nma màu hơi sáng hơn, ko thích lắm, mặc ok",0
"Đăng sp giống nhau thành 2 link, chất y hệt mà giá khác nhau, vải k ưng như mua đợt 1",2
"Đánh giá 4* mà gọi năn nỉ kêu đánh giá lại 5* cho shop còn đâu là công bằng cho người mua ! Sh nên trung thực đi shop ơi, hàng hiệu giảm 50% mà chất vải nóng, mỏng lét, sáng gọi tối gọi làm phiền khách. Không nên mua nha mn !!",2
"Đặt 2 bộ đen sz M và xanh than XL giao 1 bộ đen sz M và 1 áo , mình đâu có đặt áo, giao sai mẫu, nhắn tin ko trả lời, mọi người cân nhắc khi mua 2 sp, shop ko biết soạn hàng hay gì á",2
"Đặt hàng size L mà shop giao XL, quy trình đổi trả phản hồi cho khách không rõ ràng. Làm việc không ok.",2
Chất vải tạm ổn đến khi giặt thì loang màu đủ chỗ giao hàng quá lâu,2
Đặt mau đen nhưng shop lại giao thành màu xám :| đc cái mặc vừa chưs giờ đổi đi đổi laii cũng mất time😅,0
"Đặt mua 2 bộ giao 1 bộ lấy tiền 2 bộ, mọi người nên kiểm tra cẩn thận trước khi nhận hàng, khui ra xem có đủ hay không mới nhận hàng nhé! Mình ở vùng dịch nên gửi hàng ngoài chốt và ck, đến khi nhận hàng khui ra gọi ship báo trả hàng thì kg kịp, báo shop thì im lặng. Giá 287k cho 1 bộ đồ thun",2
"Bạn đầu mình lo lắng về chất lượng, nhưng mà rất vừa ý mình, có điều là eo hơi rộng so với mình một tí, nhưng k đáng ngại, quần đẹp, mng muốn mua thì cứ chốt nhưng mà phải bóp eo xíu nha",1
Đẹp lắm vải mịn khá ok đường chỉ đẹp nhưng mà vẫn hơi rộng với mình-)),0
Đẹp nên mua ai mặc size S thì lấy M nhé đẹp hơn màu xanh rất là đẹp đẹp săn sale 7/7 có 8 mấy ngàn như cái trăm mấy vậy 1000000₫😱😱😱😱😱😱,1
Đẹp nhưng dài so vs 1 đứa 1m48 như mik=),0
Quần ống rộng nha m.n chấtt vải ok chưa mặc nên hong biết vải có nực hong,0
đẹp nhưng mà 2 bên túi chất liệu vải khác nhau,0
"Đẹp ơi là đẹp siuuu ưng luôn á , đồ đẹp mà giá lại hời thì còn gì bằng",1
"đẹp, lưng thun nên chắc 100kg mặc cũm dừa á =))) mình 75kg bik z mua bé hơn 1 size, mặc chung với baby tee nhìn khá xịn, hợp với ai thích style y2k, gothic hoặc grunge",1
"Đích bựi wa mén thọt không vừa, còn nhìn tổng quan thì ok nha shop nhắn tin không trả lời",0
Điều đầu tiên là shop trl nt rất nhiệt tình và thân thiện,1
"Đồ quá xấu.ko biết sao có những kh cho 5* là người nhà bạn bè bình luận giùm hay gì. Mà đồ như vậy mà 5*sao kiểu gì. Về mở ra lấy giặt mặt trước là vãi màu, mặt sau là vãi trắng mới bỏ vô trước 1 cái là nó loang ra nhìn ko ra cái áo 1 xíu nào . Sản phẩm quá tệ. Nếu ai mà có ý định mua thì thôi nha.",2
"Quần đẹp , chất dày dặn , mở ra hơi mùi , gói hàng cẩn thận , khoá không bị dắt , nói chung là đáng mua lắm nhe ❤️❤️❤️💘💘💘💘🧸🧸🧸🧸🧸💩💩💩💩💩",1
Quần đẹp chuẩn from chất vảu dày dặn mọi người nên mua nhé ạ!!!,1
"quần đẹp cực kì nha , vải dày dặn kh lộ cầm chắc tay nè , giao hàng nhanh lắm , giá rẻ nữa , tui cao m65 nặng cỡ 46-47kg eo 64 mặc size M thoải mái nha",1
Đẹp lắm luôn rẻ mà đẹp chất lượng tuyệt vời kh ngờ giá rẻ mà đẹp như vậy luôn,1
"đối với mình quần thì cũng tạm, quá dài so với mình 😭",2
Đặt 2 quần cùng size mà màu đậm mang thoải mái hơn quần màu nhạt sát quá. Chật ạ. Mọi người nên cân nhắc nha,0
Đóng gói hơi sơ sài nói chung cũng tạm ổn thôi mình thích cái quần kia mà nó hết mẫu :((,0
"đúng kích thước nhưng mình không ưng form quần và màu. Phần đùi to nhưng dần về ống lại nhỏ lại nhìn hơi mắc cười. Màu quần ở ngoài không như ảnh, riêng mình thấy màu hơi quê. Chất vải khá mềm, khi unbox thì cúc của quần không cánh mà bay. Tổng quan thì mình nghĩ không nên mua",2
Đúng với mô tả:cũng ok,1
Đúng với mô tả:hàng đẹp chất lượng giao hàng nhanh,1
Đúng với mô tả:quần ống rộng hơn bthg mk mua quần ống rộng ý dài nữa nên phải đi cắt ngắn lại huhu,2
"Giao hàng nhanh, đóng gói chắc chắn. Quần ống khá rộng, hơi dài (mình cao 1m55) jean mềm, ko bị cứng, vẫn còn chút chỉ thừa.",1
Đúng với mô tả:quần ưng lắm nheee . Mặc vô tone dáng lắm shop còn dễ thương . Mọi người nên mua nha .,1
Đáng mua nha mọi người xinh lắm luôn nnnnnnn nnzbz,1
Đúng với mô tả:vải dày dặn. 1m52 42kg mặc size S vừa in. Ăn no cũng ko bị kích nha 🥹,1
"Đường may bị bùng chỉ, kiểu làm cho nhanh, đường gấp bị lệch nữa, vải chưa gì hết mà đã xù 1 chút ét rồi. Tạm ổn thôi.",2
"Đường may chất lượng, mình 1m62 58kg đùi mình 55 mặt size 2xl là form đẹp lắm luôn ấy, thoải mái lắm ạ. Nói chung là tuyệt của tuyệt nha. Nên mua",1
"eo oi k ngờ anh quần rẻ mà xinh dã man luôn í, lúc đầu đặt về cũng hơi lo mà khi nhận hàng thì bất ngờ luon á troi, quần xinh mà nhìn girl phố lắm nhen, nchung là nên mua nha",1
"quần đẹp lắm lun hic, lên form đỉnh quá trời, mặc thic cực nên mua nhă",1
"Quần đẹp lắm mn , m60 43kg mặc trùng qua mắt cá chân hàng về trong 1 ngày siêu nhanh shop tư vấn nhiệt tình 10₫ cho shop .Còn lại mn tự nhìn ảnh nhé .Đẹp lắm nên mua",1
Quần đẹp lắm mn giao hàng nhanh chất lượng rất ok luôn không một cộng chỉ thừa rấttt là nên mua luôn ❤️❤️,1
Eo ơi xinh lắm nma mình thấy số đo hơi sai nha đùi mình 60 mua 3xl mà thấy số shop đăng là 65 nhưng mà ko sao mặc lên dáng đẹp lắm eo mình77 mặc vừa in,1
"Eo vừa chiều dài cũng vừa nhưng mà ống quần quá rộng, đây là lần 3 mình đặt ở shop nhưng đây là lúc mình thất vọng nhất.",2
"Form quần đẹp, vãi dày dặn nhưng mà mình thấy cũng là size M mà quần jeans xanh basic size vừa vặn hơn, còn quần này hơi chật",0
From quần rất đẹp😘,1
"Giá rẻ hơn sự mong đợi, nên mua, shop uy tính🌟🌟🌟🌟🌟",1
"Giá rẻ quần siu dày, nặng tay nhưng mà form to lắm size S mà như M á, với quần k phải màu xám mà kiểu xanh đen nha mng",1
Giao đúng size,1
"giao hàng bình thường, bọc cẩn thận. Quần về đã thấy bung chỉ chỗ khoá, mình m58 nặng 42kg đặt size S về rộng bụng 3 phân, quần dài quá gót, ống rộng quá. Chắc lại phải tốn tiền đi sửa. Chất vải tạm được, màu hơi bạc. Ncl không hài lòng. Mn mua đừng tin size shop quá. Mình mặc vào k khác gì size L.",2
"Giao hàng cực lâu. Từ hn lên tuyên quang mất tận 6 ngày. M đặt 1xxl đen, 1 xxl than, 1xl than mà shop lại giao 1xxl đen, 2xl than. M nt shop cũng ko 1 lời giải thích. Quá thất vọng và tức giận. Đằng sau đều là màu trắng hết nhé các bạn.",2
Giao hàng hơi lâu /vãi hơn sần/phom quần hông hợp với mình,2
Giao hàng khá lâu giao sai sp hơi thất vọng,2
quần đẹp lắm mình 1m60 57kg mặc size S vẫn còn rộng dài thoải mái mặc nhìn đẹp lắm lên form như vd vậy trước mình cũng đặt quần ở shop nma k đọc kĩ mô tả lên đặt size XL mua về quần to rộng không mặc được nhắn tin shop trả lời nhanh tư vấn nhiệt tình và hỗ trợ trả hàng hoàn tiền rất thích cách shop bán hàng giờ mua đúng size rồi rất ưng ý nha lần sau sẽ ủng hộ lại shop. Mn nên nhắn tin hỏi size trước khi mua nha,1
Giao hàng nhanh,1
"Giao hàng nhanh đóng gói cẩn thận , quần rất đẹp vừa rẻ . Sau sẽ ủng hộ tiếp ☺️☺️",1
"Eo tui 67 mông 94 , chọn L tại thấy ghi L eo 72 , mông 108 mà tui mặc vào khít eo luôn nhìn tôn eo lắm luôn , bà nào eo hơn nên cân nhắc thêm size nha. Quần đúng đẹp hok ngờ rẻ mà chất lượng vậy luôn, shop nhiệt tình nữa ❤😍",1
"Giao hàng nhanh đóng gói kĩ, ngoài ra a shipper cx rất cute. Phải nói là bất ngờ với độ đẹp của quần lun á, nó đẹp ngoài sức tưởng tượng luôn. Đẹp từ chất vải cho đến màu sắc, cả phần đóng gói cũng đẹp luôn. Tóm lại là ko có j để chê, rất đáng để mua nha. Mik cao m60 nặng 58kg mặc size 2XL vừa khít",1
giao hàng nhanh lắm,1
"giao hàng nhanh lắm ạ, đóng gói sản phẩm cẩn thận, quần jeans đẹp lắm lun, vì eo mình chỉ có 58-59 thôi nên mỗi lần mua đồ là phải mang đi sửa eo, nhưng mà quần jeans của shop mặc vào vừa in lun, không cần đi sửa, rất ưng lun ý, lại còn rẻ nữa, mình cảm ơn nhiều ạ",1
Đúng size giao hàng nhanh vãi cũng ok nên ủng hộ,1
"giao hàng nhanh lắm đặt nay mai có ùi, mình săn sale 8/8 nên chỉ có 81k thui ạ, nhưng chất liệu vải như 2-300 cành ngoài shop ấy, ui xĩu cái đùng, khuyến cáo mng nên mua nhen, mặc đi biển buổi tối chụp flash siu chinh nè",1
Giao hàng nhanh mới đặt hôm trước hôm sau đã có,1
"Giao hàng nhanh nè . Tớ eo 66 nhưng lúc ngồi xún do có mỡ nên nó ra 69 bn nào mua yên tâm nhé, t m58 mặc dài đến bàn chân lun nhưng phối đồ vẫn đẹp . Tớ 50kg nha. Lúc đầu giặt ra màu cũng không phai lắm, phơi nhớ lộn mặt trái nha tại để lâu dưới ánh sáng mặt trời là bị bạc màu đó. Nên mua nha",1
"Lần đầu mua đồ của shop mà cực kì ưng ý, vải đẹp, đúng form, mặc rất thích, shop đóng gói kĩ càng, xịn xò và giao hàng cực kì nhanh, đặt hàng là hôm sau có luôn, sẽ tiếp tục ủng hộ shop nè 😍❤️❤️",1
Lần đầu mua ở shop nhưng trộn vía không cần tư vấn mà quần vừa khít siêu ưng lần sau sẽ ủng hộ tiếp nhé mn nên mua nha,1
"Giao hàng quá chậm, đặt từ 6/6 đến 17/6 mới giao...tuy sản phẩm thì ok nhưng phải đánh giá 1 sao vì giao quá là chậm....",2
Khá hụt hẫng mọi người ạ. Đầu tiên khi mở gói hàng ra thì đập vào mắt mình là sao cái ống quần nó to thế :) và thật sự là to hơi hình tưởng tượng về size S. Chỗ cần rộng một tý thì lại ko rộng. Phần chun quần thì khá chật nên việc mặc vào hơi khó khăn . Và màu sắc của quần là màu Xám chuột kp đen:)),2
"Giao hàng quá chậm, trong khi đó chỉ ship trong nội thành HN",2
"Giao hàng siêu nhanh, đóng gói cẩn thận. Nhận được quần thì quá bất ngờ luôn, 3 cái đúng mẫu mã đúng màu mà con đẹp nữa chứ. Ưng hết sức 😍 giá cả hợp lý. Sẽ ủng hộ lâu dài, cho shop 5 sao nhe",1
Giao hàng tầm 1 tuần là nhận được hàng mặc lên dáng quần đẹp. đóng gói hàng cẩn thận so với giá tiền thì ổn nên mua hết rùi ó 😘 có gì lầm sau sẽ ủng hộ típ ọ tại lầm trc cũng mua một cái rùi ưng ý lắm,1
"giao hàng tương đối ổn , quần đẹp vải đẹp giá tiền phải chăng sẽ ủng hộ shop thêm",1
"Giao nhanh, form quần đẹp, cạp cao, mình 45kg mặc size S còn rộng một tí",1
Hai cái quần săn sale rẻ quá trời mà chất lượng hết bàn luôn á. Mà tiếc hơi rộng zs tui xíuuuuu,1
"Hàng đẹp nha mn đúng from mk rất ưng nha mn nên mua nha , sẽ ủng hộ shop tiếp ak",1
"hàng đẹp,chất liệu tốt.Cao m6 nặng 49kg mặc vừa",1
Giao hàng nhanh kịp mặc tết... Đáng tiền mua,1
"Hàng đẹp,giá rẻ mà chất lượng lắm,màu sắc giống trong ảnh,vải đẹp lúc khui hàng mình tưởng mặc bị chật nhưng lúc mặc vào vừa như in nên mua nha mọi người,giao hàng cũng nhanh lắm.",1
Hàng giao nhanh đẹp nên mua nhaaaaaaaaaaaaaaaaaaaaaaaaaa,1
Hàng khá tốt nhưng ko hài lòng lắm vì nhìn thi cạp cao nhưng mặc vào dáng ko đẹp lắm làm lộ vùng tam giác khóc mặc áo dài che thì đc nhưng ngắn thì kì cục lắm,2
Hàng rất ok nhá nên mua shiperr thân thiện với vẻ hòa đồng sẽ ủng hộ shop dài dài,1
"hang tot dep,giao nhanh,hoi chật do chọn nhầm size",1
"Hic lần này hàng về hơi thất vọng một xíu, quần mỏng hơn so với mấy quần trước mình đặt của shop, 2 quần lần trước mình đặt của shop quần ưng lắm luôn mà sao lần này vải mỏng lắm nhưng cũng tạm được, hình ảnh mang tính chất nhận xu thôi ạ, vì lúc bóc hàng mình quên không chụp với quay lạiiii",2
Hình ảnh mang tính chất nhận xu,0
Chất quần quá ổn so vs giá tiền. Lên form ổn sz đúng kích thước. Màu bên ngoài nhìn ổn áp phết. Nói chung 10 điểmmm :)),1
"Giao hàng không quá lâu nè, chất liệu ok, mặc lên đẹp, hơi dài so với mình, mình cao 1m52 nặng 52kg mặc vậy là quá ok rồi nè, thích lắm luôn",1
"Chất vải dày dặn, nhưng bị ra màu quá. Mới nhận hàng đem đi giặt đã thấy phai màu ra rồi, mặt sau áo màu trắng, mặt trước màu xanh than, giặt cái đã thấy màu lem ra. Hơi thất vọng!",2
"Hình ảnh và vid chỉ mang tính nhận xu, shipper giao hàng nhanh thân thiện ống quần hơi to tưởng n có thể ôm hơn và xuông xuống",0
hơi buồn vì mua ở cửa hàng mấy lần rồi mình thích lắm nma lần đầu đặt onl thì shop lại giao nhầm ;(,2
"Hơi thất vọng giá tiền khá cao mà chất lượng quần thì không ổn chút nào khá mỏng, số đo của shop đưa ra khô ng hề đúng tí nào mua về không mặc được rất phí tiền mà giá quần lại còn cao nữa không phù hợp với chất lượng mà quần có☹️☹️☹️",2
Hợp với giá tiền,1
Hợp với mấy bạn mẫm mẫm nhaa đẹp kinh khủng lên xem xet mua về dùng thử,1
Htrc đã đánh giá 5 sao vì hàng rất ưng nhưng mà shop mall bán hàng kém chất lượng quần áo ra quá trời phẩm màu. Ra hết phẩm của cái áo. Coi như vứt cái áo. Bên shop giờ xử lý như nào đây. Shop mall mà bán quần áo thế à,2
"k có gì để chê cả ngoài việc mình m65 mà mua size L nó ngắn vch, lúc nhận hàng mặc thử còn tưởng shop giao nhầm size nhưng k, size L nó ngắn quá mng ơii, k giống tưởng tượng của mình vì mình mua rất nhiều quần size L nhưng đây là cái ngắn nhất như size S í",2
"Khá đẹp, nhưng màu nhạt hơn mình nghĩ. Màu trên ảnh cũng đậm hơn. Nếu mua lại mình sẽ chọn màu khác",0
"Không chỉ thừa,thật sự không tin là với giá đó quần lại ổn áp vậy đâu",1
"Hàng đẹp giá rẻ, ship siêu nhanh , quần đẹp lắm . Đúng y như mô tả . Sẽ ủng hộ shop thêm",1
"Không như tưởng tượng cho lắm, màu xanh nó kh đậm như mình nghĩ , cái màu nhìn nó bạc bạc sao í, vải cũng hơi mỏng",2
Ko hỉu s mk nhận đc bị xé ra 1 ít và lúc mở ra mùi của quần cs mùi hơi khét,2
Làm ăn mất uy tín,2
"lần đầu mình mua quần giống quần cũ đã bị cắt khuy, cắt nham nhở làm chỉ lòi tùm lum, nhưng k nghĩ nhiều nên vẫn đánh giá 5 sao. lần này mua là lần 2 thì quần còn nguyên chưa cắt khuy và có mác size đàng hoàng. vậy mới nghĩ trước là bị mua quần cũ à?? còn về dáng quần thì ok",2
"Chất vải cotton dày dặn, không chỉ thừa, đường may rất okee 🤗. Bên phía giao hàng nhanh. Giá tiền hợp lý. From chuẩn. Xuất sắc luôn nên mua",1
"Lần đầu mua quần mà không cần tốn tiền đi bóp eo. Eo 62 mặc vừa khít nhé có điều dù là size S mà ống quần to quá, to hơn mình tưởng nhiều.",0
"lần đầu tiên mua quần của shop mà ưng lắm nha vải siêu đẹp , shop còn kèm cả thư cảm ơn, hàng về mà quần thơm lắm, sẽ uho shop nhiều 🥰",1
Lần t2 mình mua ròi lần nào cũng ưng bụng hết . Màu quần ở ngoài đậm hơn nha . đường may tỉ mỉ ít chỉ thừa . mình m60 35 kg các bạn tham khảo hình nha . giao hàng nhanh lắm mình đặt 25 mà 26 giao ròi . Đóng gói cẩn thận . shop thân thiện . đọc tới đây còn chừng chờ gì nữa mua đi hong hối hận đâu,1
"Lần trước mua quần ở shop 1 lần thấy siêu thích luônn, nên lần này mua lại ủng hộ thì thất vọng thật sự, form quần lên không đẹp luôn ý =((( nói chung là đợt này quần shop giao làm mình hơi thất vọngggg",2
"Lừa đảo khách hàng, đặt size này lại giao size khác! Mọi người cân nhắc khi mua tại shop này!",2
Lúc đầu tưởng là sẽ mặc rộng hoặc trật j đấy,0
"Lưu ý cho mấy bạn chọn size là nên theo số đo nha cân nặng không quan trọng , dưới 1m6 là quần khá dài á , quần vừa eo luôn nên ưng lắm ,quần xinh nha",1
"M Đặt 2 bộ shop giao 1 bộ, nhưng thu tiền 2 bộ, sau đó mình liên hệ thì shop mới báo là mẫu đó hết hàng, báo m chọn mẫu khác có giá trị tối thiểu bằng mẫu cũ, sau đó đợi hoài thì k thấy shop gửi bù hàng, cũng k thấy shoo phản hồi gì. Mọi người nên cân nhắc khi mua ở shop này nhé.",2
M.n nên ủng hộ sản phẩm này ạ. Quần giải bao đeph ạ,1
"M62, 45kg mặc vừa khít, nhưng mình muốn dài hơn nữa😭các bạn muốn mặc thụng và thoải mái cứ tăng size lên nha",0
"Má ưi, rộng wa🥹 mình m63 mà dài qua gót chân kéo cao đến rốn r đó🥹 eo mình cũng chả nhỏ j mà mặc rộng thùng thình🌹nma quần đẹp ok nha🌹🌹",0
"Mặc hơi kích mông mặc dù hông của mình ko hề to, hơn nữa ống ở dưới lại hơi loe, mặc lên dáng hơi kì TvT",2
"mặc không được như mình tưởng tượng nha mng, chân to còn ngắn nên mặc xấu lém huhu",2
"mặc lên đồ xinh lắm nha, dễ phối đồ, sờ vào rất êm tay, kểu đơn giản nhưng ok lắm. Được tặng 1 cái khẩu trang và kèm giấy ghi chú hướng chi tiết cụ thể. Shop tận tình dth, shipper giao nhanh thân thiện. Nói chung tất cả đều oke nhưng mà có cái đùi mình hơi to nên lúc kéo lên hơi khó, eo hơi chật xíu thoi",1
Mất tổng cộng 10 ngày sản phẩm mới đến nơi. Mất 4 ngày hơn vẫn chưa giao vận chuyển. Về sp thì m không có thắc mắc gì,2
Không nghĩ với giá này mà lại mua được chiếc quần xinh như vậy. Cực kì ưng luôn nha. Rcm mng nên muaaaa,1
"màu k phải xám đen đâu tr, nó ngả xám nhiều hơn ấy ạ. vải thì xấu lắm, bên ngoài thì bụi bụi, bên trong mặc vào xót muốn chết, tại có mấy hạt sợi vải li ti dính đấy xong khó chịu lắm. mình m58 47kg mặc vừa vặn, hơi dài xíu vì chân ngắn 🥲 ncl mua hay k tuỳ mn ạ, nma vải xấu lắm luôn",2
Màu ở ngoài nhạt hơn trên vid. Vải mỏng. 1m58 44kg mặc sz M vừa in luôn nhé. Cạp cao lắm. Có chỉ thừa nhưng ko đáng kể. Ncl với giá này thì ổn,0
Màu quần hơi nhạt thiếu giấy thơm hy vọng shop cải thiện vấn đề này giao hàng nhanh chất lượng tạm ổn .,0
