Content,Classify
Sao lại có đường may này vậy ạ nhìn rất xấu hai bên bên ko giống nhau chả cân đối mùi thì rất kì như mùi thuốc tẩy chất vải nhạt không như mong đợi,2
Quá rộng ko thích lắm.nếu om lại 1 chút sẽ đẹp hơn,2
"quần giao về thì nút quần bị rớt, không thể tự gắn vào được mà phải đi đóng nút mới. Vải r xấu. Khá thất vọng",2
Mình mua 2cai 1 cái đen 1 cái xanh mà cái xanh về thì nó ngả màu vàng đommm đómmm,2
"Chất liệu vãi xù xấu bỏ150k cả ship để mua 1 cái quần như này quá lãng phí mn mua nên suy nghĩ lại ạ , vãi xù ko giống trong hình",2
lên ảnh nhìn màu ổn ở ngoài nó vàng khè XẤU TỆ QUẦN NHƯ ĐÃ QUA SỬ DỤNG size s mà tưởng size XL .chưa lần nào thất vọng như lần này😀,2
"Quần mới gì mà bao quần bẩn khủng khiếp,lúc nhận về ko nhìn kĩ thấy cũng đc,mang đi cắt gấu quần xong giặt mới thấy bao bị bẩn,thôi thì cắt phén ln cái bao rồi khâu cái miệng bao lại ln,ko dám để cái bao để mà mặc ln ấy😑",2
"Dịch vụ cực cực kì tệ,shop để kích thích sai.Đã nhắn tin hỏi trước là kích thước có đúng ko thì shop bảo chắc chắn đúng.shop còn bảo mình phải tự trừ hao đi:)và bảo mình tự đặt chứ ko hỏi,thế ko lẽ shop bảo đúng size rồi mình lại hỏi lại mông 92 (shop ghi mông 100) thì là chỉ có đứa ngu mới hỏi thế",2
"Nhân viên shop nói chuyện quá tệ,coi thường khách hàng.Mình mua size M và thử không vừa, đã làm theo hướng dẫn của shop tự chịu ship gửi hàng về kho đổi size L.Và sau khi thử lại, không có sự khác biệt giữ size M và L( phần hông và eo). Mình gọi lên hỏi shop để nhờ hướng dẫn thì mình nói chưa xong shop nói giọng khó chịu chỉ hỗ trợ đổi 1 lần,tự liên hệ lại với shopee rồi dập máy.",2
"Mình khuyên thật mọi người né shop này ra nhé. Shop làm ăn không có lương tâm, nhắn tin hỏi shop tư vấn size nhưng shop không thèm trả lời, xem thường khách hàng. Mua quần về bị chật nhắn tin xin shop đổi size nhưng shop im re làm thinh luôn. Giờ có vote 1* chắc shop cũng không quan tâm. Năm mới chúc shop buôn xui bán ế nhé :))",2
"quần xù ơi là xù luôn ý. Mùi mở ra mình suýt nôn luôn. Mùi giặt mãi k giặt được. vải xấu, k màu nhạt hơn nữa, nhiều chỉ thừa nữa",2
màu k giống hình nhìn cũ với ghê lắm ai mua màu này cân nhắc ạ,2
Shop giao đồ kiểu này đây :),2
Quần mùi khó chịu kinh khủng. Giặt 3 4 lần r vẫn k hết,2
Vải mỏng chx kể là bnh cái bửn nó bám vào quần như kiểu cũ từ lâu r ý mong chờ hàg. Về nhưng quá thất vọng,2
"theo số đo nma trừ hao tăng thêm 1 size nhưng vẫn chật, cũng hơi xơ xuất do đọc đánh giá tin tưởng shop nên k quay video lại nma dây kéo mới thử 1 lần đã bị tét làm đôi",2
"Mọi thứ đều oki từ cái màu đến from quần đi cho tới khi nhìn lại mấy cái lỗ , ủa alo mua quần ms tưởng mua quần pass lại. Shop k ktra sản phẩm trc khi giao hả ??",2
Màu xấu không như trong ảnh mẫu size S thì tớ đùng í chắc m70 mới vừa mất =),2
"Quần 3xl mà còn chật hơn side l,xl bình thường . Đũng ngắn . Nhắn tin xin đổi side to mà k thấy phản hồi . Chất k có giãn nên chắc mua về chưng",2
Lần đầu như lần cuối ạ:),2
Vãi dày thiệt nma nó quá rộng mình 1m64 52kg hơi thất vọng 1 tí bị rách nhiều chổ chỉ thừa quá nhiều,2
Mua 3 lần r tin tưởng mua 3 cái nữa dề giao sai sz xấu chất ln kém ko nên mua phí tiền,2
Đúng với mô tả:ko đúng mô tả,2
"Quần vải được nhưng size ko chuẩn, mua theo bảng size nhưng mặc bị chật và lên form ko đẹp. Shop thái độ phục vụ kém.. Không quay lại lần sau.",2
"Shop mô tả Size k chính xác mặc dù có trừ hao, thái độ nhân viên phản hồi lòi lõm với khách.",2
Bth mặc sizeS nên em đặt size S vậy mà giờ kh mặc vừa thì đag đợi hoàn hàg thế là mẹ em thử mặc thì gần mặc vừa em bảo shop là kh hoàn hàg mà đổi size shop kh hỗ trợ nên kh đổi nữacòn quần thì kh được đẹp cho lắm cứ tưởg như hình ai dè nó cứ bạc bạc giờ chỉ biết vứt quần lần đầu mua hàng đánh giá 1,2
"bạn nào dưới m6 thì đừng nên mua nha, vì quần nó dài và rộng lắm á",2
"Quần k giống trong hình ,chất vải xấu ,khuyến cáo mọi người không nên mua tốn tiền sezi thì to k đúng sezi",2
Đúng với mô tả:size s quá dài,2
"Lần sau mong shop bán hàng có tâm ạ, e đặt quần đen xám nhưng lại gửi quần xám tro =)) . Nhìn cứ bạc bạc cũ cũ, làm sao mặc được ạ. E ko thích màu đó🥲. Ko dám mua lần 2",2
